deviceId;pozo;actividad;tipo_tuberia;tipo llave;conexion;tipo_conexion;fecha_hora_inicio;tiempo_cuna_cuna;torque_aplicado
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;1;sencillos ;2025-12-05 17:08:15;3,87;3889
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;2;sencillos ;2025-12-05 17:12:07;2,67;3853
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;3;sencillos ;2025-12-05 17:14:47;2,2;3853
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;4;sencillos ;2025-12-05 17:16:59;2,27;3859
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;5;sencillos ;2025-12-05 17:19:15;2,13;3848
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;6;sencillos ;2025-12-05 17:21:23;2;3844
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;7;sencillos ;2025-12-05 17:23:23;2,13;3833
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;8;sencillos ;2025-12-05 17:25:31;2,07;3844
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;9;sencillos ;2025-12-05 17:27:35;5,13;3830
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;10;sencillos ;2025-12-05 17:32:43;2,4;3837
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;11;sencillos ;2025-12-05 17:35:07;2,07;3852
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;12;sencillos ;2025-12-05 17:37:11;2,33;3837
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;13;sencillos ;2025-12-05 17:39:31;2,22;3862
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;14;sencillos ;2025-12-05 17:41:44;2,33;3844
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;15;sencillos ;2025-12-05 17:44:04;51,27;3844
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;16;sencillos ;2025-12-05 18:35:20;4,53;3900
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;17;sencillos ;2025-12-05 18:39:52;2,33;3891
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;18;sencillos ;2025-12-05 18:42:12;28,48;3860
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;19;sencillos ;2025-12-05 19:10:41;2,33;3872
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;20;sencillos ;2025-12-05 19:13:01;2,27;3880
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;21;sencillos ;2025-12-05 19:15:17;2,33;3859
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;22;sencillos ;2025-12-05 19:17:37;2,53;3870
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;23;sencillos ;2025-12-05 19:20:09;4,2;3861
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;24;sencillos ;2025-12-05 19:24:21;2,4;3878
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;25;sencillos ;2025-12-05 19:26:45;2,53;3859
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;26;sencillos ;2025-12-05 19:29:17;2,33;3868
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;27;sencillos ;2025-12-05 19:31:37;2,27;3861
ColpetroleumRsu8;MN-48;POOH ESP#9 PMM;TUBING 2 3/8 4,7 N-80 EUE;Llave Hidráulica;28;sencillos ;2025-12-05 19:33:53;2,4;3875
